Address,Area,Rooms,Bathrooms,Garage Cars,Price
"Rua Poeta José Salles de Campos, 260 - Coroa do Meio, Aracaju - SE",520,4,7, 4 ,     R$ 2.200.000     
"Rua Francisco Rabelo Leite Neto - Atalaia, Aracaju - SE",340,5,5, 3 ,     R$ 870.000     
"Rua Pina Ramos, 6 - Luzia, Aracaju - SE",160,3,3, 1 ,     R$ 280.000     
"Rua F, 176 - Aruana, Aracaju - SE",325,3,3, 3 ,     R$ 360.000     
"Rua B, 13 - Jabotiana, Aracaju - SE",80,3,1, 1 ,     R$ 279.000     
"Rua Geraldo dos Santos Filho, 112 - Aruana, Aracaju - SE",220,4,2, 4 ,     R$ 320.000     
"Rua Jordão de Oliveira - Atalaia, Aracaju - SE",105,2,2, 1 ,     R$ 310.135     
"Rua Aloísio Campos, 41 - Atalaia, Aracaju - SE",300,5,6, 6 ,     R$ 1.300.000     
"Avenida Conselheiro João Moreira Filho, 300 - Atalaia, Aracaju - SE",500,4,5, 3 ,     R$ 1.000.000     
"Rua E, 103 - Aeroporto, Aracaju - SE",133,3,1, 2 ,     R$ 400.000     
"Rua Seis, 0 - Soledade, Aracaju - SE",160,3,1, -- ,     R$ 180.000     
"Rua Laranjeiras, 1 - Centro, Aracaju - SE",98,2,1, 1 ,     R$ 145.000     
"Rua Sergipe, 919 - Siqueira Campos, Aracaju - SE",166,5,4, 3 ,     R$ 400.056     
"Rua Delmiro Gouveia, 141 - Coroa do Meio, Aracaju - SE",414,5,5, 3 ,     R$ 1.350.000     
"Rua Orlando Tavares Macedo, 147 - Aruana, Aracaju - SE",280,4,5, 2 ,     R$ 750.000     
"Rua F - Aruana, Aracaju - SE",100,3,1, 2 ,     R$ 580.000     
"Via Formosa, 10 - Aruana, Aracaju - SE",120,3,2, 2 ,     R$ 390.000     
"Avenida Inácio Barbosa, 11650 - Mosqueiro, Aracaju - SE",110,3,2, 4 ,     R$ 400.000     
"Rua Maria Auxiliadora de Lima Oliveira, 67 - Zona de Expans aruanda, Aracaju - SE",180,3,2, 2 ,     R$ 475.200     
"Avenida José Vicente de Almeida, 259 - Zona de Expansao Aruana, Aracaju - SE",197,4,4, 2 ,     R$ 840.000     
"Avenida Fábio José Cardoso Ramos, 1 - Aeroporto, Aracaju - SE",140,3,3, 3 ,     R$ 350.000     
"Rua Renato Fonseca de Oliveira - Coroa do Meio, Aracaju - SE",1890,4,4, 4 ,     R$ 1.890.182     
"Avenida Conselheiro João Moreira Filho - Coroa do Meio, Aracaju - SE",552,5,4, 4 ,     R$ 800.000     
"Rua Jornalista Fernando Souza, 100 - Aeroporto, Aracaju - SE",300,3,2, 2 ,     R$ 349.990     
"Avenida Doutor José Domingos Maia, 207 - Mosqueiro, Aracaju - SE",480,5,5, 5 ,     R$ 1.750.000     
"Rua João Ribeiro de Almeida, 328 - Zona de Expansao Robalo, Aracaju - SE",190,3,2, 2 ,     R$ 195.000     
"Avenida Conselheiro João Moreira Filho, 280 - Atalaia, Aracaju - SE",552,5,6, 3 ,     R$ 800.000     
"Rua Temístocles Diniz Gonçalves, 102 - Jabotiana, Aracaju - SE",250,3,1, 2 ,     R$ 350.000     
"Rua Vanira Bispo da Luz, 83 - Aeroporto, Aracaju - SE",120,3,1, 2 ,     R$ 400.000     
"Avenida Silvério Leite Fontes, 85 - Aruana, Aracaju - SE",180,2,1, 2 ,     R$ 199.000     
"Rua Promotora Maria Anamira Amado Batalha Neta - 17 de Marco, Aracaju - SE",171,3,3, 4 ,     R$ 550.141     
"Rua Jordão de Oliveira - Atalaia, Aracaju - SE",105,2,2, 1 ,     R$ 310.186     
"Rua Jonaldo Bonfim, 720 - Santos Dumont, Aracaju - SE",160,3,2, -- ,     R$ 295.000     
"Rodovia dos Náufragos - Zona de Expansao Mosqueiro, Aracaju - SE",256,4,6, 2 ,     R$ 680.000     
"Rua Temístocles Diniz Gonçalves, 102 - Jabotiana, Aracaju - SE",200,3,4, 2 ,     R$ 380.000     
"Rua Paulo César Novais, 116 - Jabotiana, Aracaju - SE",330,3,3, 2 ,     R$ 420.000     
"Rua Campo do Brito - Salgado Filho, Aracaju - SE",300,3,4,"
                  5
                ","
                            R$ 850.016
                    "
"Aruana, Aracaju - SE",200,3,3,"
                  2
                ","
                            R$ 330.000
                    "
"Rua Bahia, 1674 - Siqueira Campos, Aracaju - SE",125,3,2,"
                  1
                ","
                            R$ 260.000
                        
Preço abaixo do mercado

"
"Farolândia, Aracaju - SE",300,3,4,"
                  2
                ","
                            R$ 580.000
                    "
"Rua C, 10 - Zona de Expansao Areia Branca, Aracaju - SE",265,5,3,"
                  6
                ","
                            R$ 2.550.000
                    "
"Rua Juarez Oliveira Leal, 319 - São Conrado, Aracaju - SE",125,3,3,"
                  1
                ","
                            R$ 270.000
                    "
"Rua Maria Vasconcelos de Andrade, 1 - Aruana, Aracaju - SE",110,3,2,"
                  2
                ","
                            R$ 389.000
                    "
"Rua Accioly Porto - Jabotiana, Aracaju - SE",300,3,2,"
                  4
                ","
                            R$ 780.066
                    "
"Rua Santo Agostinho, 52 - Farolândia, Aracaju - SE",180,3,3,"
                  2
                ","
                            R$ 380.000
                    "
"Avenida Inácio Barbosa, 425 - Zona de Expansao Mosqueiro, Aracaju - SE",160,3,2,"
                  2
                ","
                            R$ 450.000
                    "
"Rua ITacy Aparecido Marques, 400 - Aruana, Aracaju - SE",200,4,3,"
                  4
                ","
                            R$ 750.000
                    "
"Rua Jordão de Oliveira - Atalaia, Aracaju - SE",150,3,4,"
                  3
                ","
                            R$ 600.000
                    "
"Avenida Maria Fonseca de Moraes, 65 - Olaria, Aracaju - SE",100,3,2,"
                  2
                ","
                            R$ 260.000
                    "
"Rua Frei Paulo, 451 - Suíssa, Aracaju - SE",124,4,2,"
                  1
                ","
                            R$ 260.000
                    "
"Rua Juarez de Oliveira Ribeiro, 118 - Farolândia, Aracaju - SE",144,3,2,"
                  2
                ","
                            R$ 320.000
                    "
"Rua Doutor Milton Dortas Mendonça, 256 - Atalaia, Aracaju - SE",240,6,2,"
                  3
                ","
                            R$ 450.000
                    "
"Avenida General Euclides Figueiredo, 3444 - Industrial, Aracaju - SE",75,2,2,"
                  2
                ","
                            R$ 200.000
                    "
"Travessa Taubaté I, 1 - Matapoã, Aracaju - SE",222,3,4,"
                  4
                ","
                            R$ 1.300.000
                    "
Barra dos Coqueiros - SE,310,3,4,"
                  2
                ","
                            R$ 895.058
                    "
"Rua José Pires Winne, 37 - Suíssa, Aracaju - SE",250,3,2,"
                  2
                ","
                            R$ 360.000
                    "
"Aruana, Aracaju - SE",1000,5,5,"
                  5
                ","
                            R$ 3.000.000
                    "
"Atalaia, Aracaju - SE",160,3,4,"
                  2
                ","
                            R$ 380.000
                    "
"Rua A, 115 - Aeroporto, Aracaju - SE",82,3,1,"
                  1
                ","
                            R$ 265.000
                    "
"Rua Estância, 88 - Cirurgia, Aracaju - SE",750,3,7,"
                  --
                ","
                            R$ 600.000
                    "
"Avenida Carlos Burlamarqui, 420 - Centro, Aracaju - SE",300,6,5,"
                  2
                ","
                            R$ 260.000
                    "
"Rua Gumercindo Bessa, 258 - Santo Antônio, Aracaju - SE",70,2,2,"
                  1
                ","
                            R$ 250.000
                    "
"Travessa São Braz, 318 - Porto Dantas, Aracaju - SE",56,5,2,"
                  1
                ","
                            R$ 180.000
                    "
"Praça da Imprensa, 38 - Treze de Julho, Aracaju - SE",250,8,3,"
                  3
                ","
                            R$ 770.000
                    "
"Rua Poeta Augusto dos Anjos, 150 - Atalaia, Aracaju - SE",125,3,3,"
                  3
                ","
                            R$ 650.000
                    "
"Rua Aline Santos França, 96 - Aruana, Aracaju - SE",200,2,1,"
                  2
                ","
                            R$ 220.000
                    "
"Rua François Hoald, 0000 - Atalaia, Aracaju - SE",200,5,2,"
                  3
                ","
                            R$ 470.000
                    "
"Rua Carlos Gomes, 1 - Inácio Barbosa, Aracaju - SE",340,4,4,"
                  2
                ","
                            R$ 570.000
                    "
"Rua João Carvalho de Aragão, 1 - Atalaia, Aracaju - SE",140,4,4,"
                  4
                ","
                            R$ 550.000
                    "
"Rua Manoel Espinheira Fonseca - Aruana, Aracaju - SE",165,3,3,"
                  3
                ","
                            R$ 950.000
                    "
"Rua Rosalina, 323 - Farolândia, Aracaju - SE",169,3,3,"
                  2
                ","
                            R$ 620.000
                    "
"Rua Armindo Guaraná, 5389 - Centro, Aracaju - SE",100,3,2,"
                  3
                ","
                            R$ 320.134
                    "
"Zona de Expansao Mosqueiro, Aracaju - SE",300,6,5,"
                  10
                ","
                            R$ 850.000
                    "
"Rua Alexandre Gusmão, 1 - Inácio Barbosa, Aracaju - SE",300,4,3,"
                  2
                ","
                            R$ 420.000
                    "
"Rua José Francisco Matias, 199 - Mosqueiro, Aracaju - SE",110,3,2,"
                  4
                ","
                            R$ 330.000
                    "
"Avenida Fábio José Cardoso Ramos - Aeroporto, Aracaju - SE",230,4,4,"
                  2
                ","
                            R$ 500.004
                    "
